,Species,Avg_Activity_Per_30min
1,D. Mulleri,0.6
2,D. Mulleri,0.0
3,D. Mulleri,1.28
4,D. Mulleri,1.0
5,D. Mulleri,0.44
6,D. Mulleri,0.52
7,D. Mulleri,1.28
8,D. Mulleri,0.72
9,D. Mulleri,2.96
10,D. Mulleri,0.24
11,D. Mulleri,3.36
12,D. Mulleri,2.8
13,D. Mulleri,4.56
14,D. Mulleri,1.16
15,D. Lebanthensis,166.04
16,D. Lebanthensis,148.76
17,D. Lebanthensis,97.16
18,D. Lebanthensis,26.52
19,D. Lebanthensis,133.96
20,D. Lebanthensis,153.2
21,D. Lebanthensis,132.16
22,D. Lebanthensis,99.36
23,D. Lebanthensis,7.84
24,D. Lebanthensis,107.12
25,D. Lebanthensis,224.84
26,D. Lebanthensis,129.2
27,D. Saltans,1.4
28,D. Saltans,8.36
29,D. Saltans,0.68
30,D. Saltans,0.4
31,D. Funebris,92.16
32,D. Funebris,69.64
33,D. Funebris,142.76
34,D. Funebris,131.24
35,D. Funebris,116.48
36,D. Funebris,65.92
37,D. Funebris,67.16
38,D. Funebris,57.12
39,D. Funebris,69.84
40,D. Funebris,33.04
41,D. Funebris,173.32
42,D. Funebris,71.64
43,D. Funebris,90.86
44,D. Buzzatii,2.32
45,D. Buzzatii,0.16
46,D. Buzzatii,0.8
47,D. Buzzatii,0.0
48,D. Buzzatii,1.76
49,D. Buzzatii,1.36
50,D. Buzzatii,4.52
51,D. Buzzatii,0.64
52,D. Buzzatii,0.4
53,D. Buzzatii,1.64
54,D. Buzzatii,3.28
55,D. Nasuta,34.56
56,D. Nasuta,1.76
57,D. Nasuta,1.12
58,D. Nasuta,4.12
59,D. Nasuta,11.04
60,D. Nasuta,13.36
61,D. Nasuta,2.28
62,D. Nasuta,2.12
63,D. Nasuta,6.44
64,D. Nasuta,17.0
65,D. Nasuta,4.96
66,D. Nasuta,2.08
67,D. Nasuta,8.72
