,Species,Avg_Sleep_Per_30min
1,D. Mulleri,29.52
2,D. Mulleri,30.0
3,D. Mulleri,29.48
4,D. Mulleri,29.68
5,D. Mulleri,29.64
6,D. Mulleri,29.76
7,D. Mulleri,29.52
8,D. Mulleri,29.84
9,D. Mulleri,29.76
10,D. Mulleri,29.8
11,D. Mulleri,29.32
12,D. Mulleri,28.84
13,D. Mulleri,27.64
14,D. Mulleri,29.2
15,D. Lebanthensis,17.92
16,D. Lebanthensis,22.8
17,D. Lebanthensis,23.76
18,D. Lebanthensis,27.68
19,D. Lebanthensis,20.96
20,D. Lebanthensis,19.92
21,D. Lebanthensis,23.52
22,D. Lebanthensis,22.6
23,D. Lebanthensis,27.08
24,D. Lebanthensis,22.32
25,D. Lebanthensis,16.48
26,D. Lebanthensis,21.44
27,D. Saltans,29.64
28,D. Saltans,28.72
29,D. Saltans,29.84
30,D. Saltans,29.76
31,D. Funebris,13.0
32,D. Funebris,18.72
33,D. Funebris,15.04
34,D. Funebris,15.0
35,D. Funebris,14.4
36,D. Funebris,18.08
37,D. Funebris,22.96
38,D. Funebris,24.8
39,D. Funebris,16.52
40,D. Funebris,25.6
41,D. Funebris,11.76
42,D. Funebris,17.4
43,D. Buzzatii,29.28
44,D. Buzzatii,29.84
45,D. Buzzatii,29.84
46,D. Buzzatii,30.0
47,D. Buzzatii,29.72
48,D. Buzzatii,29.08
49,D. Buzzatii,28.24
50,D. Buzzatii,29.68
51,D. Buzzatii,29.52
52,D. Buzzatii,29.52
53,D. Buzzatii,28.64
54,D. Nasuta,23.72
55,D. Nasuta,29.36
56,D. Nasuta,29.48
57,D. Nasuta,28.16
58,D. Nasuta,25.88
59,D. Nasuta,26.28
60,D. Nasuta,29.12
61,D. Nasuta,28.88
62,D. Nasuta,27.28
63,D. Nasuta,26.2
64,D. Nasuta,28.08
65,D. Nasuta,29.28
66,D. Nasuta,26.92
