,Wrist,,Palm,,Back of Hand,,Thumb,,Cheek,,Upper Arm,
Pair #,S1 (mm),S2 (mm),S1 (mm),S2 (mm),S1 (mm),S2 (mm),S1 (mm),S2 (mm),S1 (mm),S2 (mm),S1 (mm),S2 (mm)
1,19,15,13.5,5,7.5,3,2,1,3,1,10,20
2,8,10,7,3,2,10,2,3,8,5,8,20
3,10,20,7,4,4,8,2,2,10,5,5,10
4,11,4,3,11,1,1,3,1,1,2,2,4
5,20,25,22,18,15,18,9,8,26,20,66,50
6,15,30,6,15,25,40,3,5,40,20,45,70
7,7,5,15,5,15,5,1,2,8,10,7,7
8,15,10,10,5,15,15,1,1,10,13,20,15
9,10,6,10,20,20,21,4,4.5,3,3,23,37
10,16,11,13,14,16,17,2.5,3,11,9,27,24
11,8,9,4,6,6,5,2,2,11,11,14,15
12,10,3,5,1,3,3,2,2,8,5,17,7
13,15,24,19,12,20,15,6,4,10,19,17,19
